,date,favorites,hashtags,query,retweets,tweet,url
13,2020-11-03,2,['[]'],Who won the elections?,1,US election day 2020: voters stream to the polls to elect the next president – live updates https://t.co/W3AykdVJtv,https://twitter.com/twitter/statuses/1323509210068516864
14,2020-10-30,56,['[]'],Who won the elections?,11,"""Whats going through your head as fill our your ballot this election? \n\nThe Post wants to know how you feel as Election Day approaches. https://t.co/JrlXmOaV6k""",https://twitter.com/twitter/statuses/1321977569990877190
15,2020-11-05,565,['[]'],Who won the elections?,149,"""The U.S. Postal Service processed as many as tens of thousands of ballots sent to election offices the day after Election Day, according to data filed in federal court on Thursday. Whether they are counted depends on each states election rules.\nhttps://t.co/dHxSgCrJlz""",https://twitter.com/twitter/statuses/1324456510093774854
16,2020-12-06,0,"[""[{'text': 'election', 'indices': [47, 56]}, {'text': 'elections', 'indices': [57, 67]}, {'text': 'Election2020', 'indices': [68, 81]}, {'text': 'Elections2020', 'indices': [82, 96]}, {'text': 'ElectionNight', 'indices': [97, 111]}, {'text': 'Vote', 'indices': [112, 117]}, {'text': 'Vote2020', 'indices': [118, 127]}, {'text': 'Trump', 'indices': [128, 134]}]""]",Who won the elections?,33,"RT @Matt_VanDyke: Finally, he built the wall.\n\n#election #elections #Election2020 #Elections2020 #ElectionNight #Vote #Vote2020 #Trump #whi…",https://twitter.com/twitter/statuses/1335671662855901185
17,2020-12-06,0,"[""[{'text': 'Vote', 'indices': [14, 19]}]""]",Who won the elections?,0,@thomaskaine5 #Vote in every election.,https://twitter.com/twitter/statuses/1335659853407268868
18,2020-11-10,449,['[]'],Who won the elections?,140,"“We believe the statements by President Trump alleging fraud in the election are efforts to undermine the legitimacy of the election and are unacceptable,” they said. https://t.co/y5vdPJ75HD",https://twitter.com/twitter/statuses/1326032970034143234
19,2020-11-06,4,['[]'],Who won the elections?,1,Modi is taking no chances with this election https://t.co/rdxU297t15,https://twitter.com/twitter/statuses/1324615035319144448
20,2020-11-04,88208,['[]'],Votes count,10769,Count every vote. https://t.co/gYpZtR9972,https://twitter.com/twitter/statuses/1324111683988672512
21,2020-11-04,1172509,['[]'],Votes count,131898,Count every vote.,https://twitter.com/twitter/statuses/1324066382846320641
22,2020-11-06,1100,['[]'],Votes count,120,Biden overtook Trump in the count in Pennsylvania just before 9 a.m. as the state’s Democratic-leaning counties reported additional vote count totals. \n\nThe count is ongoing. https://t.co/aAvbZ76XWP,https://twitter.com/twitter/statuses/1324712019069722626
23,2020-11-05,193,['[]'],Votes count,49,Analysis: Where votes are still being counted https://t.co/wMst7sWnIf,https://twitter.com/twitter/statuses/1324358070865219584
24,2020-11-05,234731,['[]'],Votes count,20920,Every vote must be counted. https://t.co/kWLGRfeePK,https://twitter.com/twitter/statuses/1324341948568621056
25,2020-11-05,269,['[]'],Votes count,44,Analysis: Where votes are still being counted https://t.co/lrXr6GQRmz,https://twitter.com/twitter/statuses/1324258932731334656
26,2020-11-04,247,['[]'],Votes count,64,Analysis: Where votes are still being counted https://t.co/yYYChPmTBS,https://twitter.com/twitter/statuses/1323985875915649024
27,2020-11-04,0,"[""[{'text': 'Election2020', 'indices': [60, 73]}]""]",Votes count,223,RT @business: To be clear: Votes are still being counted in #Election2020 \n\nThere are millions of votes left to count.\n\nDoes Trump have a p…,https://twitter.com/twitter/statuses/1323892192948244481
28,2020-12-06,0,"[""[{'text': 'votes', 'indices': [25, 31]}, {'text': 'Arizona', 'indices': [53, 61]}, {'text': 'Nevada', 'indices': [66, 73]}, {'text': 'Russia', 'indices': [114, 121]}, {'text': 'USElections', 'indices': [123, 135]}]""]",Votes count,2,"RT @RedAlertInfo1: While #votes are being counted in #Arizona and #Nevada, everything has already been counted in #Russia.\n#USElections htt…",https://twitter.com/twitter/statuses/1335415557634580486
29,2020-11-05,62,['[]'],Votes count,30,"Count the votes or stop the count? Trump supporters have been trying to pressure election officials to stop counting ballots in states like Pennsylvania and Michigan, while making the opposite demands in Arizona. https://t.co/6jijrW3tG2",https://twitter.com/twitter/statuses/1324420535166636032
30,2020-11-05,1319,['[]'],Votes count,97,"Joe Biden says ""every vote must be counted"" as several battleground states continue counting ballots https://t.co/8WRuyt5iNC",https://twitter.com/twitter/statuses/1324354300282310656
31,2020-11-07,3,['[]'],Votes count,0,Why is the Nevada vote count taking so long? https://t.co/qTBhQovUvt,https://twitter.com/twitter/statuses/1324884544139497473
32,2020-11-05,309673,['[]'],Votes count,21906,Every single vote must be counted.,https://twitter.com/twitter/statuses/1324365016607428608
33,2020-11-04,0,['[]'],Votes count,131898,RT @JoeBiden: Count every vote.,https://twitter.com/twitter/statuses/1324076787790422017
34,2020-10-28,4,['[]'],Votes count,3,What states have learned about counting votes in a pandemic https://t.co/jo6PyS8N6K,https://twitter.com/twitter/statuses/1321590388709335045
35,2020-11-05,0,['[]'],Votes count,668,"""RT @Nate_Cohn: Biden appears to hold the edge in votes left to be counted. A look at whats left to count as of this morning.  https://t.co…""",https://twitter.com/twitter/statuses/1324369862207148035
36,2020-12-06,0,"[""[{'text': 'Georgia', 'indices': [4, 12]}, {'text': 'Vote', 'indices': [34, 39]}]""]",Votes count,0,Hey #Georgia. Please register and #Vote. We are ALL counting on you. https://t.co/lkA09yKaxT,https://twitter.com/twitter/statuses/1335677097583333376
37,2020-11-06,1405,['[]'],Votes count,207,"""The votes being counted in Pennsylvania do not include any mail ballots arriving after Nov. 3. Those are being kept segregated. This count is for votes in by Election Day,"" @NYTnickc reports. Follow our live coverage. https://t.co/WYVvELn2Mq",https://twitter.com/twitter/statuses/1324718336962383874
38,2020-11-05,916798,['[]'],Votes count,60074,"Be patient, folks. Votes are being counted, and we feel good about where we are.",https://twitter.com/twitter/statuses/1324406121721786369
39,2020-11-05,819,['[]'],Votes count,98,"Trump supporters chant ""count the votes"" in Arizona https://t.co/6h0zfLmLqy",https://twitter.com/twitter/statuses/1324200095928246277
40,2020-11-08,951,['[]'],Is Joe Biden the president?,134,The votes that won Joe Biden the presidency https://t.co/2amOi2CPyq,https://twitter.com/twitter/statuses/1325443230377385984
41,2020-11-07,15,['[]'],Is Joe Biden the president?,5,How Joe Biden won the presidency – a visual guide https://t.co/zRdmZyGFUb,https://twitter.com/twitter/statuses/1325131043431735296
42,2020-11-07,15,['[]'],Is Joe Biden the president?,3,"""Joe Bidens journey to the presidency – in pictures https://t.co/wP1RuzJbVd""",https://twitter.com/twitter/statuses/1325118703248302083
43,2020-11-07,27,['[]'],Is Joe Biden the president?,8,"""Joe Bidens journey to the presidency – in pictures https://t.co/mLMAJ5yyqJ""",https://twitter.com/twitter/statuses/1325114290630774788
44,2020-11-10,7,['[]'],Is Joe Biden the president?,2,"""Soul of the nation: how Joe Bidens faith will shape his presidency https://t.co/gGWRMIphYn""",https://twitter.com/twitter/statuses/1326072757717708800
45,2020-11-02,50,['[]'],Is Joe Biden the president?,11,"""Heres where President Trump and Joe Biden are campaigning today https://t.co/xAIwX8YwGv""",https://twitter.com/twitter/statuses/1323274425471553536
46,2020-11-07,4462,['[]'],Is Joe Biden the president?,307,"Watch Kamala Harris\ call with Joe Biden: ""We did it, Joe"" https://t.co/rvn38UsweF https://t.co/851SH3tNxo",https://twitter.com/twitter/statuses/1325138255449378816
47,2020-11-09,5997,['[]'],Is Joe Biden the president?,438,Opinion: Joe Biden is already showing he is the right president for the moment https://t.co/Bu3sRz8qt1,https://twitter.com/twitter/statuses/1325592780559757313
48,2020-11-07,0,['[]'],Is Joe Biden the president?,21,"""RT @aawayne: Joe Biden has ended Donald Trumps presidency.\n\nhttps://t.co/l7Tx0RhxSv""",https://twitter.com/twitter/statuses/1325115197552533505
49,2020-11-07,54430,['[]'],Is Joe Biden the president?,11468,Joe Biden has been elected the next president of the United States. https://t.co/d2QFujqbkF https://t.co/PksOKBF4mZ,https://twitter.com/twitter/statuses/1325114595237916673
50,2020-11-05,112,['[]'],Is Joe Biden the president?,30,A Joe Biden victory would likely mean a gridlock presidency https://t.co/B4ac725dHN,https://twitter.com/twitter/statuses/1324318205003894784
51,2020-11-05,58,['[]'],Is Joe Biden the president?,15,Joe Biden stands on the brink of claiming the presidency from Donald Trump https://t.co/9Uea59eGZa,https://twitter.com/twitter/statuses/1324284797355724801
52,2020-11-05,98,['[]'],Is Joe Biden the president?,22,"""The presidents fans were angry at the network for calling Arizona for Joe Biden. https://t.co/M3pC9cuvX5""",https://twitter.com/twitter/statuses/1324278616881041408
53,2020-11-07,14224,"[""[{'text': 'CNNElection', 'indices': [196, 208]}]""]",Is Joe Biden the president?,3673,"BREAKING: JOE BIDEN WINS\n\nJoe Biden will be the 46th president of the United States, CNN projects, after a victory in Pennsylvania puts the Scranton-born Democrat over 270 https://t.co/qLSDFouqPd #CNNElection https://t.co/M81zo9Kvl2",https://twitter.com/twitter/statuses/1325114035113701378
54,2020-11-07,28306,"[""[{'text': 'CNNElection', 'indices': [196, 208]}]""]",Is Joe Biden the president?,9192,"BREAKING: JOE BIDEN WINS\n\nJoe Biden will be the 46th president of the United States, CNN projects, after a victory in Pennsylvania puts the Scranton-born Democrat over 270 https://t.co/3BuAr574GM #CNNElection https://t.co/ewnnJquLPC",https://twitter.com/twitter/statuses/1325112912554364929
55,2020-11-07,12,['[]'],Is Joe Biden the president?,5,"What’s ahead under President Joe Biden, industry by industry https://t.co/HMnO4B9YVr",https://twitter.com/twitter/statuses/1325195849245208576
56,2020-11-10,3142,['[]'],Is Joe Biden the president?,352,"Joe Biden says President Trump\s refusal to concede the election that he lost is ""an embarrassment"" that ""will not help the President\s legacy"" https://t.co/uvu1WCAR79 https://t.co/nj4tl9vFlJ",https://twitter.com/twitter/statuses/1326276730668118020
57,2020-11-11,215,['[]'],Is Joe Biden the president?,39,"President Trump has yet to concede, or invite President-elect Joe Biden to the White House. https://t.co/FG4DvwCwgn",https://twitter.com/twitter/statuses/1326635227888971780
58,2020-11-08,447,['[]'],Is Joe Biden the president?,63,"The 43rd president called Joe Biden a ""good man"" and offered him ""prayers for his success."" https://t.co/pxpeej1LcH",https://twitter.com/twitter/statuses/1325585244435714049
59,2020-11-07,55,['[]'],Is Joe Biden the president?,16,Joe Biden wins US election after four tumultuous years of Trump presidency https://t.co/4q0sgDGTqu,https://twitter.com/twitter/statuses/1325114346549239810
60,2020-11-06,1056,['[]'],Pennsylvania votes,69,"People in Pennsylvania have always cared about Pennsylvania. Now, the rest of the country does too. \nhttps://t.co/sJReng5yGE",https://twitter.com/twitter/statuses/1324818865105342469
61,2020-11-06,5128,['[]'],Pennsylvania votes,904,Biden has taken the lead in both Georgia and Pennsylvania this morning as votes continue to be counted: https://t.co/RGmjCTnWKw\n\nResults are here as they come in:\nGeorgia: https://t.co/yZg2EpYJ5i\nPennsylvania: https://t.co/1QlxuuyGdm https://t.co/BfPsuaHBEh,https://twitter.com/twitter/statuses/1324715462832345089
62,2020-11-07,30,['[]'],Pennsylvania votes,2,Biden expands lead in Pennsylvania https://t.co/VjaXDnaKNd,https://twitter.com/twitter/statuses/1324923981237981184
63,2020-11-03,204757,['[]'],Pennsylvania votes,15800,"""Lets win this thing, Pennsylvania! https://t.co/jmCXbuL5V3""",https://twitter.com/twitter/statuses/1323747783732535300
64,2020-11-01,501,['[]'],Pennsylvania votes,70,Democrats grow more anxious about Pennsylvania https://t.co/xJQK99bvFR,https://twitter.com/twitter/statuses/1322950540469391365
65,2020-11-01,1136,['[]'],Pennsylvania votes,141,Democrats grow more anxious about Pennsylvania https://t.co/K0XCevRmmB,https://twitter.com/twitter/statuses/1322732739049775104
66,2020-11-02,224,['[]'],Pennsylvania votes,37,More than 2.4 million mail-in votes have been cast in Pennsylvania https://t.co/fr85En5j7m https://t.co/Eh9XiEnsFs,https://twitter.com/twitter/statuses/1323323258016571393
67,2020-10-31,1,['[]'],Pennsylvania votes,3,‘I’m not voting for personality’: why this Pennsylvania county is the one to watch https://t.co/mkUaBqoY3q,https://twitter.com/twitter/statuses/1322492371414777856
68,2020-11-28,0,"[""[{'text': 'ElectionProtest', 'indices': [171, 187]}, {'text': 'USElectionResults', 'indices': [188, 206]}, {'text': 'Pennsylvania', 'indices': [207, 220]}]""]",Pennsylvania votes,0,A federal appeals court rejected an attempt by US President @realDonaldTrump’s campaign to block President-elect @JoeBiden from being declared the winner of Pennsylvania. #ElectionProtest #USElectionResults #Pennsylvania\nhttps://t.co/JbFF9Yrhbc,https://twitter.com/twitter/statuses/1332655547229810688
69,2020-11-07,926,['[]'],Pennsylvania votes,93,"See where the vote count in Pennsylvania stands now, and follow live election results here.\nhttps://t.co/KCq9wjAdM2",https://twitter.com/twitter/statuses/1325045405860638720
70,2020-11-07,566,['[]'],Pennsylvania votes,63,"See where the vote count in Pennsylvania stands now, and follow live election results here: \nhttps://t.co/Eaf7QILdXW",https://twitter.com/twitter/statuses/1324874230987689986
71,2020-11-06,17,['[]'],Pennsylvania votes,8,Biden narrows Pennsylvania gap as vote count grinds on - live blog: https://t.co/7FdFPxIcGF,https://twitter.com/twitter/statuses/1324616524360011778
72,2020-11-06,621,"[""[{'text': 'Election2020', 'indices': [69, 82]}]""]",Pennsylvania votes,91,"See where the vote count in Pennsylvania stands now, and follow live #Election2020 results here: \nhttps://t.co/t65yD8mn2W",https://twitter.com/twitter/statuses/1324587336378781696
73,2020-11-06,481,"[""[{'text': 'Election2020', 'indices': [69, 82]}]""]",Pennsylvania votes,52,"See where the vote count in Pennsylvania stands now, and follow live #Election2020 results here: \nhttps://t.co/Eh2ptdb91v",https://twitter.com/twitter/statuses/1324529458729095168
74,2020-11-05,480,"[""[{'text': 'Election2020', 'indices': [69, 82]}]""]",Pennsylvania votes,63,"See where the vote count in Pennsylvania stands now, and follow live #Election2020 results here.\nhttps://t.co/vqIiapQLoj",https://twitter.com/twitter/statuses/1324423774352121856
75,2020-11-05,631,"[""[{'text': 'Election2020', 'indices': [69, 82]}]""]",Pennsylvania votes,59,"See where the vote count in Pennsylvania stands now, and follow live #Election2020 results here.\nhttps://t.co/Q7DI0GZaxp",https://twitter.com/twitter/statuses/1324353298854535168
76,2020-11-09,31,['[]'],Pennsylvania votes,10,Biden now has a bigger lead in Pennsylvania than Trump did in 2016 https://t.co/WiocAGxUtA,https://twitter.com/twitter/statuses/1325872046610460674
77,2020-11-06,3,['[]'],Pennsylvania votes,8,Pennsylvania court orders segregation of provisional ballots https://t.co/nIBkfNJhet,https://twitter.com/twitter/statuses/1324804003746766848
78,2020-11-04,75,['[]'],Pennsylvania votes,51,The Trump campaign has now filed lawsuits in both Pennsylvania and Michigan https://t.co/cJU22p4Qh2,https://twitter.com/twitter/statuses/1324085543240667136
79,2020-11-02,532,['[]'],Pennsylvania votes,64,Biden turns to Pennsylvania as he hammers Trump’s presidency https://t.co/vsy6f5Kyop,https://twitter.com/twitter/statuses/1323265612416733184
80,2020-12-06,0,"[""[{'text': 'Vote', 'indices': [54, 59]}, {'text': 'GeorgiansVoteRevWarnockAndOssoffToSaveAmerica', 'indices': [60, 106]}, {'text': 'Georgia', 'indices': [108, 116]}]""]",Georgia votes,0,@AdrBell High turnout in Georgia can change all that!\n#Vote\n#GeorgiansVoteRevWarnockAndOssoffToSaveAmerica \n#Georgia,https://twitter.com/twitter/statuses/1335681485223944192
81,2020-11-05,0,['[]'],Georgia votes,28,"RT @StevenTDennis: Georgia, Georgia, Georgia\n\nBy @HouseInSession, who you should totally follow right now.\n\nhttps://t.co/ahhOx3kC0I",https://twitter.com/twitter/statuses/1324464265965805569
82,2020-12-06,1,"[""[{'text': 'Register', 'indices': [18, 27]}, {'text': 'VOTE', 'indices': [32, 37]}]""]",Georgia votes,0,"One DAY, Georgia! #Register and #VOTE!! https://t.co/YVrCXaSsVA",https://twitter.com/twitter/statuses/1335686959088414721
83,2020-11-05,0,['[]'],Georgia votes,94,"RT @EmmaKinery: GEORGIA: With 98% of the vote in Donald Trump now leads Joe Biden by just 32,858 votes in Georgia according to the AP, 49.7…",https://twitter.com/twitter/statuses/1324197054609035265
84,2020-12-06,0,"[""[{'text': 'Georgia', 'indices': [7, 15]}, {'text': 'VoteBlue', 'indices': [17, 26]}]""]",Georgia votes,0,"Do it, #Georgia. #VoteBlue https://t.co/lYoTRLsFy3",https://twitter.com/twitter/statuses/1335677874897100802
85,2020-12-06,0,"[""[{'text': 'georgia', 'indices': [81, 89]}, {'text': 'register', 'indices': [90, 99]}, {'text': 'runoff', 'indices': [100, 107]}, {'text': 'senate', 'indices': [108, 115]}, {'text': 'election', 'indices': [116, 125]}, {'text': 'vote', 'indices': [126, 131]}]""]",Georgia votes,2,"RT @tildieandchewie: Georgia register, vote and save us from Mitch McConnell\n.\n.\n#georgia #register #runoff #senate #election #vote #democr…",https://twitter.com/twitter/statuses/1335688936623140865
86,2020-12-06,0,"[""[{'text': 'Georiga', 'indices': [32, 40]}, {'text': 'VOTE', 'indices': [41, 46]}]""]",Georgia votes,0,C’mon Georgia. Break this face. #Georiga #VOTE https://t.co/YoWDJTaPUV,https://twitter.com/twitter/statuses/1335683171338346499
87,2020-12-06,0,"[""[{'text': 'Georgia', 'indices': [4, 12]}, {'text': 'Vote', 'indices': [34, 39]}]""]",Georgia votes,0,Hey #Georgia. Please register and #Vote. We are ALL counting on you. https://t.co/lkA09yKaxT,https://twitter.com/twitter/statuses/1335677097583333376
88,2020-12-06,0,"[""[{'text': 'vote', 'indices': [58, 63]}]""]",Georgia votes,0,@RiversideNYC Your Georgia siblings appreciate your work! #vote,https://twitter.com/twitter/statuses/1335676865483329536
89,2020-12-06,1,"[""[{'text': 'Georgia', 'indices': [22, 30]}, {'text': 'Vote', 'indices': [36, 41]}, {'text': 'january', 'indices': [45, 53]}]""]",Georgia votes,2,@LLinWood @ASpraungel #Georgia must #Vote in #january ! https://t.co/OeXJklPuo1,https://twitter.com/twitter/statuses/1335675352471965698
90,2020-12-06,0,"[""[{'text': 'Vote', 'indices': [19, 24]}, {'text': 'Georgia', 'indices': [25, 33]}, {'text': 'Geogia', 'indices': [124, 131]}, {'text': 'voting', 'indices': [171, 178]}]""]",Georgia votes,0,"Make Sure Register #Vote #Georgia Residents by December 7th, \n\nThen Early Voting Will begin on Dec 14th \n\nLet’s Get To Work #Geogia on Making Differences by Showing up To #voting Polls This weekend Georgia Period.",https://twitter.com/twitter/statuses/1335694781289287684
91,2020-12-06,0,"[""[{'text': 'VoteBlue', 'indices': [150, 159]}, {'text': 'Vote', 'indices': [160, 165]}, {'text': 'Vote2020', 'indices': [166, 175]}, {'text': 'Georgia', 'indices': [177, 185]}]""]",Georgia votes,0,"please if you’re from Georgia make sure that on Monday, December 7th you are registered to vote for who will be the next Senator for the next 6 years #VoteBlue #Vote #Vote2020  #Georgia",https://twitter.com/twitter/statuses/1335409805364785152
92,2020-12-06,0,"[""[{'text': 'VOTE', 'indices': [14, 19]}]""]",Georgia votes,0,@Perduesenate #VOTE\nVote For JON OSSOFF\nGeorgians Deserve Better!\n\n@sendavidperdue \nVOTE OUT Trump Sycophant\nVOTE OUT A Blatant Racist\nVOTE OUT Covid Silencer\nVOTE OUT Insider Trader\nVOTE OUT Debate Dodger\nVOTE OUT Georgia Failure\nVOTE OUT DAVID PERDUE\n https://t.co/Q9hVv8Khrr,https://twitter.com/twitter/statuses/1335664576822697984
93,2020-12-06,1,"[""[{'text': 'voteblue', 'indices': [41, 50]}, {'text': 'GeorgiansVoteRevWarnockAndOssoffToSaveAmerica', 'indices': [51, 97]}, {'text': 'vote', 'indices': [98, 103]}]""]",Georgia votes,0,"Vote, Georgia. Save yourselves. Save us. #voteblue #GeorgiansVoteRevWarnockAndOssoffToSaveAmerica #vote https://t.co/phW6lU4yfa",https://twitter.com/twitter/statuses/1335410311566929920
94,2020-12-06,0,"[""[{'text': 'VOTE', 'indices': [31, 36]}]""]",Georgia votes,0,@Perduesenate @realDonaldTrump #VOTE\nVote For JON OSSOFF\nGeorgians Deserve Better!\n\n@sendavidperdue \nVOTE OUT Trump Sycophant\nVOTE OUT A Blatant Racist\nVOTE OUT Covid Silencer\nVOTE OUT Insider Trader\nVOTE OUT Debate Dodger\nVOTE OUT Georgia Failure\nVOTE OUT DAVID PERDUE\n https://t.co/Q9hVv8Khrr,https://twitter.com/twitter/statuses/1335681489460203527
95,2020-12-06,0,"[""[{'text': 'VOTE', 'indices': [11, 16]}]""]",Georgia votes,0,@KLoeffler #VOTE\nVote For RAPHAEL WARNOCK\nGeorgians Deserve Better!\n\n@SenatorLoeffler\nVOTE OUT Trump Sycophant\nVOTE OUT Covid Silencer\nVOTE OUT NYSE Husband Corruption\nVOTE OUT Insider Trader\nVOTE OUT Georgia Failure\nVOTE OUT KELLY LOEFFLER\n\nTrades After Briefing... https://t.co/5ithDMxC3B,https://twitter.com/twitter/statuses/1335665417029898242
96,2020-12-06,0,"[""[{'text': 'VOTE', 'indices': [11, 16]}]""]",Georgia votes,0,@KLoeffler #VOTE\nVote For RAPHAEL WARNOCK\nGeorgians Deserve Better!\n\n @SenatorLoeffler\nVOTE OUT Trump Sycophant\nVOTE OUT Covid Silencer\nVOTE OUT NYSE Husband Corruption\nVOTE OUT Insider Trader\nVOTE OUT Georgia Failure\nVOTE OUT KELLY LOEFFLER https://t.co/DBoeMMgZnb via @thedailybeast,https://twitter.com/twitter/statuses/1335665619077828615
97,2020-12-06,0,"[""[{'text': 'VOTE', 'indices': [28, 33]}]""]",Georgia votes,0,@KLoeffler @realDonaldTrump #VOTE\nVote For RAPHAEL WARNOCK\nGeorgians Deserve Better!\n @SenatorLoeffler\nVOTE OUT Trump Sycophant\nVOTE OUT Covid Silencer\nVOTE OUT NYSE Husband Corruption\nVOTE OUT Insider Trader\nVOTE OUT Georgia Failure\nVOTE OUT KELLY LOEFFLER\n\nTrades After Briefing... https://t.co/5ithDMxC3B,https://twitter.com/twitter/statuses/1335663462899396619
98,2020-12-06,0,"[""[{'text': 'VOTE', 'indices': [31, 36]}]""]",Georgia votes,0,@Perduesenate @kayleighmcenany #VOTE\nVote For JON OSSOFF\nGeorgians Deserve Better!\n\n@sendavidperdue @Perduesenate\nVOTE OUT Trump Sycophant\nVOTE OUT A Blatant Racist\nVOTE OUT Covid Silencer\nVOTE OUT Insider Trader\nVOTE OUT Debate Dodger\nVOTE OUT Georgia Failure\nVOTE OUT DAVID PERDUE\n https://t.co/Q9hVv8Khrr,https://twitter.com/twitter/statuses/1335661382440792066
99,2020-12-06,0,"[""[{'text': 'VOTE', 'indices': [29, 34]}]""]",Georgia votes,0,@GaRepublicans @Perduesenate #VOTE\nVote For JON OSSOFF\nGeorgians Deserve Better!\n\n@sendavidperdue @Perduesenate\nVOTE OUT Trump Sycophant\nVOTE OUT A Blatant Racist\nVOTE OUT Covid Silencer\nVOTE OUT Insider Trader\nVOTE OUT Debate Dodger\nVOTE OUT Georgia Failure\nVOTE OUT DAVID PERDUE\n https://t.co/Q9hVv8Khrr,https://twitter.com/twitter/statuses/1335659614994620421
100,2020-11-04,360,['[]'],Texas votes,40,"Trump projected to win Texas, crushing ""Blue Texas"" dreams once again https://t.co/rDd1IMC7dC",https://twitter.com/twitter/statuses/1323886812520189952
101,2020-11-02,119,['[]'],Texas votes,32,"The FBI is investigating an incident of alleged harassment by Trump supporters of a Biden campaign bus in Texas, the Texas Tribune reports https://t.co/CcQfOTZu2Z",https://twitter.com/twitter/statuses/1323065389446823942
102,2020-11-01,56,['[]'],Texas votes,22,"""I regret livin\ in Texas"" is the punchline. https://t.co/TsO0dKV6GJ",https://twitter.com/twitter/statuses/1322844270324256768
103,2020-11-01,71455,['[]'],Texas votes,9793,Something big is happening in Texas. https://t.co/fNXqlVthok,https://twitter.com/twitter/statuses/1322735427594395648
104,2020-10-30,80649,['[]'],Texas votes,9004,There is no time to let up. Let’s do this Texas! https://t.co/1udfMYvkjZ,https://twitter.com/twitter/statuses/1322268477181382657
105,2020-10-27,0,['[]'],Texas votes,498,RT @JCisnerosTX: The key to flipping Texas is by running up the numbers in South Texas. 🤠\n\nJoin me and Sen. @BernieSanders as we mobilize v…,https://twitter.com/twitter/statuses/1321177785319251971
106,2020-10-27,234,['[]'],Texas votes,37,"More than 7.8 million people have cast their vote in Texas, including the first 14 days of early voting, according to data posted on the Texas Secretary of State website https://t.co/zTEQEMvS1X https://t.co/6EzL4mS0ss",https://twitter.com/twitter/statuses/1321166790161039360
107,2020-11-01,95993,['[]'],Texas votes,13947,"""Lets turn Texas blue.\n\nhttps://t.co/COWdd5hED8 https://t.co/TPNH6BKXGd""",https://twitter.com/twitter/statuses/1323023259512659968
