Author,Date,Favorites,Hashtags,Query,Retweets,Tweet,URL
'Kamala Harris',2020-11-05,309673,['[]'],Votes count,21906,Every single vote must be counted.,https://twitter.com/twitter/statuses/[1324365016607428608]
'The Washington Post',2020-11-05,269,['[]'],Votes count,44,Analysis: Where votes are still being counted https://t.co/lrXr6GQRmz,https://twitter.com/twitter/statuses/[1324258932731334656]
'The New York Times',2020-11-07,523,['[]'],Votes count,50,"See where the vote count in Arizona stands now, and follow live election results here.\nhttps://t.co/A8TtmbiSeQ",https://twitter.com/twitter/statuses/[1324954785783668737]
'Guardian US',2020-11-07,3,['[]'],Votes count,0,Why is the Nevada vote count taking so long? https://t.co/qTBhQovUvt,https://twitter.com/twitter/statuses/[1324884544139497473]
'The New York Times',2020-11-05,293,"[""[{'text': 'Election2020', 'indices': [71, 84]}]""]",Votes count,32,"See where the vote count in North Carolina stands now, and follow live #Election2020 results here.\nhttps://t.co/5Pm04x4MwR",https://twitter.com/twitter/statuses/[1324418740340051969]
'The Washington Post',2020-11-05,193,['[]'],Votes count,49,Analysis: Where votes are still being counted https://t.co/wMst7sWnIf,https://twitter.com/twitter/statuses/[1324358070865219584]
'The New York Times',2020-11-07,926,['[]'],Votes count,93,"See where the vote count in Pennsylvania stands now, and follow live election results here.\nhttps://t.co/KCq9wjAdM2",https://twitter.com/twitter/statuses/[1325045405860638720]
'Bloomberg Politics',2020-11-05,3,['[]'],Votes count,3,Trump campaign sues to halt Philadelphia vote count https://t.co/vCWqACrlHS,https://twitter.com/twitter/statuses/[1324481328394440704]
'The Washington Post',2020-11-04,798,['[]'],Votes count,77,Philadelphia keeps counting https://t.co/qlAFJ3lbH2 https://t.co/lfxMdcrheS,https://twitter.com/twitter/statuses/[1323852238972952578]
'CNN Politics',2020-10-29,383,['[]'],Votes count,58,"North Carolina can count votes received 9 days after Election Day, Supreme Court rules https://t.co/zdHNfIlrsV https://t.co/jhyvFnOTQV",https://twitter.com/twitter/statuses/[1321738813354508288]
'The Washington Post',2020-11-05,1416,['[]'],Votes count,184,"""Heres what Nevada looks like, with an estimated 87 percent of votes counted https://t.co/S3uV1Iw7wZ https://t.co/2f6fca6fDP""",https://twitter.com/twitter/statuses/[1324412706322059265]
'Joe Biden',2020-11-05,572142,['[]'],Votes count,47946,"The people will not be silenced, be bullied, or surrender.\n\nEvery vote must be counted.",https://twitter.com/twitter/statuses/[1324490426649317376]
'CNN Politics',2020-11-09,1114,['[]'],Is Joe Biden the president,81,Joe Biden to announce coronavirus task force as part of his presidential transition https://t.co/wr8TCVBFo1 https://t.co/uuNgXyaOSS,https://twitter.com/twitter/statuses/[1325742188261728256]
'CNN Politics',2020-11-07,4305,['[]'],Is Joe Biden the president,313,Joe Biden to announce coronavirus task force as part of his presidential transition https://t.co/XxOj8aky7u https://t.co/5hVRyxR3JQ,https://twitter.com/twitter/statuses/[1325200373980651527]
'Hastalavista',2020-12-05,0,"[""[{'text': 'US', 'indices': [11, 14]}, {'text': 'USAElections2020', 'indices': [30, 47]}]""]",Is Joe Biden the president,0,"So, who is #US President now?\n#USAElections2020",https://twitter.com/twitter/statuses/[1335109732554731520]
'The Washington Post',2020-11-03,75,['[]'],Is Joe Biden the president,16,How turnout and swing voters could get Trump or Biden to 270 https://t.co/qY16HV5dxo,https://twitter.com/twitter/statuses/[1323678349571575809]
'Guardian US',2020-11-09,20,['[]'],Is Joe Biden the president,6,"""Joe Bidens coronavirus task force to meet as first public schedule released https://t.co/ESljJrnwbU""",https://twitter.com/twitter/statuses/[1325689401603665923]
'CNN Politics',2020-11-08,2650,['[]'],Is Joe Biden the president,212,Joe Biden to announce coronavirus task force as part of his presidential transition https://t.co/0uo8SGUAG1 https://t.co/9H02ZGOKpR,https://twitter.com/twitter/statuses/[1325365702908383234]
'CNN Politics',2020-11-04,698,"[""[{'text': 'CNNElection', 'indices': [64, 76]}]""]",Is Joe Biden the president,60,CNN PROJECTION: Joe Biden wins Colorado https://t.co/Pk5S0zN4qq #CNNElection https://t.co/eKbGqtMiKK,https://twitter.com/twitter/statuses/[1323817803212795904]
'Guardian US',2020-10-29,2,['[]'],Is Joe Biden the president,2,"US election polls tracker: who is leading in swing states, Trump or Biden? https://t.co/3IgTZBWN2F",https://twitter.com/twitter/statuses/[1321802019863220225]
'The Washington Post',2020-11-04,586,['[]'],Is Joe Biden the president,45,"Joe Biden has won Rhode Island and its four electoral votes, according to Edison Research https://t.co/XJesN92lrk https://t.co/bImgexgVqe",https://twitter.com/twitter/statuses/[1323871169636872193]
'HuffPost Politics',2020-11-11,215,['[]'],Is Joe Biden the president,39,"President Trump has yet to concede, or invite President-elect Joe Biden to the White House. https://t.co/FG4DvwCwgn",https://twitter.com/twitter/statuses/[1326635227888971780]
'moneycontrol',2020-12-05,10,"[""[{'text': 'MCopinion', 'indices': [0, 10]}, {'text': 'JoeBiden', 'indices': [170, 179]}, {'text': 'DonaldTrump', 'indices': [180, 192]}, {'text': 'USElections2020', 'indices': [193, 209]}, {'text': 'USelections', 'indices': [210, 222]}]""]",Is Joe Biden the president,1,"#MCopinion | Joe Biden will be the next US President, but future elections in the country will likely show the scars of the 2020 presidential elections: @sree\n\n@JoeBiden #JoeBiden #DonaldTrump #USElections2020 #USelections\nhttps://t.co/bCvt64uLZV",https://twitter.com/twitter/statuses/[1335199880441040896]
'Guardian US',2020-11-03,19,['[]'],Is Joe Biden the president,5,"""Joe Biden returns to childhood home in Scranton: From this house to the White House https://t.co/DtYZWdCaZ1""",https://twitter.com/twitter/statuses/[1323722773471047681]
'Bloomberg Politics',2020-11-07,0,"[""[{'text': 'Election2020', 'indices': [32, 45]}]""]",Is Joe Biden the president,104,RT @bopinion: Joe Biden did it. #Election2020 https://t.co/88mQVCCifg https://t.co/OhVk8AtODl,https://twitter.com/twitter/statuses/[1325127736839430146]
'Joe Biden',2020-10-27,157419,['[]'],Is Joe Biden the president,27811,Black lives matter. No president should be afraid to say it. https://t.co/636AQZ04lW,https://twitter.com/twitter/statuses/[1321138590789726209]
'CNN Politics',2020-10-27,70,['[]'],Is Joe Biden the president,6,"Fact-checking Joe Biden on ""60 Minutes"" https://t.co/mmQuUMB7Gr https://t.co/uMXQj7mDnz",https://twitter.com/twitter/statuses/[1320909370176212992]
'Bloomberg Politics',2020-11-05,155,['[]'],Is Joe Biden the president,21,Biden’s team has launched a transition website while the presidential election remains unresolved https://t.co/rxjwpy6W3L,https://twitter.com/twitter/statuses/[1324145203108847616]
'The Washington Post',2020-11-04,1084,['[]'],Is Joe Biden the president,107,"Joe Biden has won Hawaii and its four electoral votes, according to Edison Research https://t.co/2twFzshj6a https://t.co/0Cl5y9lPGU",https://twitter.com/twitter/statuses/[1323923986485596160]
'CNN Politics',2020-11-02,145,['[]'],Is Joe Biden the president,35,"""White House unleashes on Dr. Anthony Fauci after his criticism of Dr. Scott Atlas and President Trumps pandemic response https://t.co/uAwpCkVVzG https://t.co/eCOZT0zfq1""",https://twitter.com/twitter/statuses/[1323135017787314176]
'Guardian US',2020-11-03,3,['[]'],Is Joe Biden the president,2,"US election polls tracker: who is leading in swing states, Trump or Biden? https://t.co/zbR17zBnS7",https://twitter.com/twitter/statuses/[1323555709573804032]
'Guardian US',2020-11-01,6,['[]'],Is Joe Biden the president,4,"US election polls tracker: who is leading in swing states, Trump or Biden? https://t.co/kjXGHVQTtw",https://twitter.com/twitter/statuses/[1322854079354331137]
'The Washington Post',2020-11-05,511,['[]'],Pennsylvania votes,74,"""Heres what Pennsylvania looks like, with an estimated 93 percent of votes counted https://t.co/c5XB2G32gE https://t.co/h9N74Kzruo""",https://twitter.com/twitter/statuses/[1324488440835121153]
'Bloomberg Politics',2020-11-06,3,['[]'],Pennsylvania votes,8,Pennsylvania court orders segregation of provisional ballots https://t.co/nIBkfNJhet,https://twitter.com/twitter/statuses/[1324804003746766848]
'The Washington Post',2020-11-05,482,['[]'],Pennsylvania votes,80,"""Heres what Pennsylvania looks like, with an estimated 92 percent of votes counted https://t.co/bQ6E6hHdmL https://t.co/VbOUl4vpCn""",https://twitter.com/twitter/statuses/[1324446554619600896]
'Joe Biden',2020-11-03,204757,['[]'],Pennsylvania votes,15800,"""Lets win this thing, Pennsylvania! https://t.co/jmCXbuL5V3""",https://twitter.com/twitter/statuses/[1323747783732535300]
'CNN Politics',2020-10-30,617,['[]'],Pennsylvania votes,86,"The Biden campaign will focus on Pennsylvania on Monday, the final day before the election https://t.co/vyCrBjJFFc",https://twitter.com/twitter/statuses/[1322177467663208451]
'CNN Politics',2020-10-30,747,['[]'],Pennsylvania votes,93,"The Biden campaign will focus on Pennsylvania on Monday, the final day before the election https://t.co/YJfukMXSUl",https://twitter.com/twitter/statuses/[1322311850273497088]
'The New York Times',2020-11-07,62481,['[]'],Pennsylvania votes,12478,Breaking News: Joe Biden defeated President Trump and has been elected the next president of the United States. He clinched the Electoral College with Pennsylvania. https://t.co/T5oI1lGlIF,https://twitter.com/twitter/statuses/[1325113737112678401]
'Bloomberg Politics',2020-11-06,0,"[""[{'text': 'Election2020', 'indices': [73, 86]}]""]",Pennsylvania votes,52,"""RT @business: Heres the latest from Pennsylvania as the count continues #Election2020 https://t.co/CkqfMG2l8i https://t.co/JKepNKksDs""",https://twitter.com/twitter/statuses/[1324562521756475392]
'The Washington Post',2020-11-07,4362,['[]'],Pennsylvania votes,342,"Biden is projected to win Pennsylvania, according to Edison Research https://t.co/THGpKsXs04 https://t.co/1UIQKCIRq6",https://twitter.com/twitter/statuses/[1325114457908011008]
'The New York Times',2020-11-07,926,['[]'],Pennsylvania votes,93,"See where the vote count in Pennsylvania stands now, and follow live election results here.\nhttps://t.co/KCq9wjAdM2",https://twitter.com/twitter/statuses/[1325045405860638720]
'The New York Times',2020-11-07,566,['[]'],Pennsylvania votes,63,"See where the vote count in Pennsylvania stands now, and follow live election results here: \nhttps://t.co/Eaf7QILdXW",https://twitter.com/twitter/statuses/[1324874230987689986]
'The New York Times',2020-11-05,631,"[""[{'text': 'Election2020', 'indices': [69, 82]}]""]",Pennsylvania votes,59,"See where the vote count in Pennsylvania stands now, and follow live #Election2020 results here.\nhttps://t.co/Q7DI0GZaxp",https://twitter.com/twitter/statuses/[1324353298854535168]
'Akajesus',2020-11-28,0,"[""[{'text': 'USElectionResults', 'indices': [118, 136]}, {'text': 'USElection', 'indices': [137, 148]}]""]",Pennsylvania votes,0,"Trump On Pennsylvania: The 1,126,940 Votes Came From A Thin Air https://t.co/i3e0k0Bl0G via @YouTube @realDonaldTrump #USElectionResults #USElection",https://twitter.com/twitter/statuses/[1332606746905423873]
'The Washington Post',2020-11-06,0,['[]'],Pennsylvania votes,26,"RT @PostGraphics: As of 5 p.m., there were more than 326,000 mail-in ballots outstanding in Pennsylvania with nearly 85,000 in Philadelphia…",https://twitter.com/twitter/statuses/[1324510124183007237]
'The New York Times',2020-11-06,621,"[""[{'text': 'Election2020', 'indices': [69, 82]}]""]",Pennsylvania votes,91,"See where the vote count in Pennsylvania stands now, and follow live #Election2020 results here: \nhttps://t.co/t65yD8mn2W",https://twitter.com/twitter/statuses/[1324587336378781696]
'Bloomberg Politics',2020-11-07,0,['[]'],Pennsylvania votes,61,"RT @BBGVisualData: Joe Biden is projected to win the presidency after clinching the battleground state of Pennsylvania, AP reports \n\nhttps:…",https://twitter.com/twitter/statuses/[1325120907971424256]
'Bloomberg Politics',2020-11-07,0,['[]'],Pennsylvania votes,514,"RT @business: BREAKING: Joe Biden is projected to win the presidency after clinching the battleground state of Pennsylvania, AP reports htt…",https://twitter.com/twitter/statuses/[1325112741267468292]
'The Washington Post',2020-11-01,1136,['[]'],Pennsylvania votes,141,Democrats grow more anxious about Pennsylvania https://t.co/K0XCevRmmB,https://twitter.com/twitter/statuses/[1322732739049775104]
'The New York Times',2020-11-05,480,"[""[{'text': 'Election2020', 'indices': [69, 82]}]""]",Pennsylvania votes,63,"See where the vote count in Pennsylvania stands now, and follow live #Election2020 results here.\nhttps://t.co/vqIiapQLoj",https://twitter.com/twitter/statuses/[1324423774352121856]
'CNN Politics',2020-11-03,681,['[]'],Pennsylvania votes,79,"""Twitter labels and restricts President Trumps post about voting in Pennsylvania on election eve https://t.co/PjwabqZddI https://t.co/zFTnF3TtCq""",https://twitter.com/twitter/statuses/[1323460920786472962]
'rebelDonaldTrump',2020-12-06,0,"[""[{'text': 'georgia', 'indices': [27, 35]}, {'text': 'voters', 'indices': [36, 43]}, {'text': 'vote', 'indices': [52, 57]}, {'text': 'democracy', 'indices': [112, 122]}]""]",Georgia voter,5,RT @SCVIndy: Suggested for #georgia #voters\n\nPlease #vote @ossoff @ReverendWarnock to end trump attack American #democracy\n\nTrump lies at h…,https://twitter.com/twitter/statuses/[1335668867100594176]
'Bombshell DAILY 💣',2020-12-06,0,"[""[{'text': 'vote', 'indices': [57, 62]}]""]",Georgia voter,141,RT @BombshellDAILY: UNFAZED\nLife or death voters.\nBravo! #vote,https://twitter.com/twitter/statuses/[1335661529967038465]
'CNN Politics',2020-10-28,99,['[]'],Georgia voter,14,The fate of a key swing state may be in the hands of voters from this Florida county https://t.co/7GrwHMJ2fQ,https://twitter.com/twitter/statuses/[1321441343592370178]
'Bert Kroek',2020-12-04,0,"[""[{'text': 'USAElections2020', 'indices': [0, 17]}]""]",Georgia voter,0,#USAElections2020 The Georgia hearing ... With the bombshell Video evidence of voter fraude. 3:49:48 https://t.co/fS35pR6Nyl,https://twitter.com/twitter/statuses/[1334662691106025476]
'Natalka Suber',2020-12-06,0,"[""[{'text': 'voters', 'indices': [7, 14]}, {'text': 'DonaldTrump', 'indices': [18, 30]}]""]",Georgia voter,0,"""To the #voters of #DonaldTrump!\nChoose correctly now 2 Georgias Democrats for the Senate! https://t.co/KcAmM1Rv5b""",https://twitter.com/twitter/statuses/[1335609562087428100]
'JakeMusc96',2020-12-06,0,"[""[{'text': 'georgia', 'indices': [27, 35]}, {'text': 'voters', 'indices': [36, 43]}, {'text': 'vote', 'indices': [52, 57]}, {'text': 'democracy', 'indices': [112, 122]}]""]",Georgia voter,5,RT @SCVIndy: Suggested for #georgia #voters\n\nPlease #vote @ossoff @ReverendWarnock to end trump attack American #democracy\n\nTrump lies at h…,https://twitter.com/twitter/statuses/[1335672938918506496]
'Tough Love ❤️\U0001f9e2 #Resist👉🏽DP 👉🏽Putinsgay 👉🏽\U0001f92b',2020-12-06,0,"[""[{'text': 'georgia', 'indices': [27, 35]}, {'text': 'voters', 'indices': [36, 43]}, {'text': 'vote', 'indices': [52, 57]}, {'text': 'democracy', 'indices': [112, 122]}]""]",Georgia voter,5,RT @SCVIndy: Suggested for #georgia #voters\n\nPlease #vote @ossoff @ReverendWarnock to end trump attack American #democracy\n\nTrump lies at h…,https://twitter.com/twitter/statuses/[1335669639980806146]
'The Washington Post',2020-11-10,146,['[]'],Georgia voter,30,"Opinion: Did ""Shy Trump Voters"" throw off the polls? Maybe not. https://t.co/glIZVwyfAq",https://twitter.com/twitter/statuses/[1326031480221560837]
'🌈ЯΞÐPłŁŁÐΞtФЖ🌊',2020-12-06,0,['[]'],Georgia voter,2,"RT @HolTal: If you were a Georgia voter, what would get your attention in a postcard. I’m sending 100 out to fellow GA voters and need insp…",https://twitter.com/twitter/statuses/[1335662658020839425]
'Melody Wilson' 'Melody Wilson',2020-12-06 2020-12-06,0 0,"[""[{'text': '2020Election', 'indices': [94, 107]}, {'text': 'elenaparent', 'indices': [108, 120]}]""
 ""[{'text': '2020Election', 'indices': [94, 107]}, {'text': 'elenaparent', 'indices': [108, 120]}]""]",Georgia voter,1674 1710,"RT @theangiestanton: Georgia Senator Elena Parent asks for evidence. Meanwhile she’s caught 😂 #2020Election #elenaparent https://t.co/cb3Fn…
 RT @theangiestanton: Georgia Senator Elena Parent asks for evidence. Meanwhile she’s caught 😂 #2020Election #elenaparent https://t.co/cb3Fn…",https://twitter.com/twitter/statuses/[1335675811828011008 1335675811828011008]
'Bloomberg Politics',2020-11-03,0,['[]'],Georgia voter,3,RT @BloombergTV: Donald Trump\xa0and Joe Biden\xa0offer their closing arguments to voters https://t.co/LMTZsbPszJ https://t.co/49ujOGuqdR,https://twitter.com/twitter/statuses/[1323646897911959553]
'The Washington Post',2020-11-04,209,['[]'],Georgia voter,22,"Amid pandemic and polarization, voters break turnout records in some key states https://t.co/0KKgbmmXvF https://t.co/NEwYsE1LTx",https://twitter.com/twitter/statuses/[1323878663222427648]
'Mr Peabody',2020-12-06,0,['[]'],Georgia voter,6,"RT @abynaa_eryka: Fellow Ghanaians, Please and please again, we need every eligible voter out there every vote is very important. Your vote…",https://twitter.com/twitter/statuses/[1335694831587389440]
'Stephanie N 🇳🇱🌷🚲🧀🐄🌊',2020-12-06,19,"[""[{'text': 'trump', 'indices': [24, 30]}, {'text': 'Georgia', 'indices': [123, 131]}, {'text': 'Elections2021', 'indices': [133, 147]}, {'text': 'VoteBlue', 'indices': [149, 158]}]""]",Georgia voter,3,@funder I hope that ALL #trump voters do what the boss tells them to do!!! Vote for perdue and loefler on the 5th of June!\n#Georgia \n#Elections2021 \n#VoteBlue,https://twitter.com/twitter/statuses/[1335507286912012290]
'Bloomberg Politics',2020-11-04,18,['[]'],Georgia voter,7,A federal judge appeared skeptical of an attempt by Pennsylvania Republicans to prevent a suburban Philadelphia county from counting mail-in ballots that voters were permitted to fix after they were notified of deficiencies https://t.co/1XcGGA7y4r,https://twitter.com/twitter/statuses/[1324079232318844932]
'Slade' 'Slade',2020-12-06 2020-12-06,0 0,"[""[{'text': '2020Election', 'indices': [94, 107]}, {'text': 'elenaparent', 'indices': [108, 120]}]""
 ""[{'text': '2020Election', 'indices': [94, 107]}, {'text': 'elenaparent', 'indices': [108, 120]}]""]",Georgia voter,1674 1710,"RT @theangiestanton: Georgia Senator Elena Parent asks for evidence. Meanwhile she’s caught 😂 #2020Election #elenaparent https://t.co/cb3Fn…
 RT @theangiestanton: Georgia Senator Elena Parent asks for evidence. Meanwhile she’s caught 😂 #2020Election #elenaparent https://t.co/cb3Fn…",https://twitter.com/twitter/statuses/[1335676942033424384 1335676942033424384]
'CNN Politics',2020-10-29,122,['[]'],Georgia voter,26,The fate of a key swing state may be in the hands of voters from this Florida county https://t.co/Ya3Zzh3js8,https://twitter.com/twitter/statuses/[1321692760940924929]
'Laurenzo',2020-12-06,1,"[""[{'text': 'voteblue', 'indices': [41, 50]}, {'text': 'GeorgiansVoteRevWarnockAndOssoffToSaveAmerica', 'indices': [51, 97]}, {'text': 'vote', 'indices': [98, 103]}]""]",Georgia voter,0,"Vote, Georgia. Save yourselves. Save us. #voteblue #GeorgiansVoteRevWarnockAndOssoffToSaveAmerica #vote https://t.co/phW6lU4yfa",https://twitter.com/twitter/statuses/[1335410311566929920]
'Kay' 'Kay',2020-12-06 2020-12-06,0 0,['[]' '[]'],Georgia voter,1 6,"RT @abynaa_eryka: Fellow Ghanaians, Please and please again, we need every eligible voter out there every vote is very important. Your vote…
 RT @abynaa_eryka: Fellow Ghanaians, Please and please again, we need every eligible voter out there every vote is very important. Your vote…",https://twitter.com/twitter/statuses/[1335690996756197383 1335690996756197383]
'Kwabena Agyemang Jr.🀄️',2020-12-06,0,['[]'],Georgia voter,6,"RT @abynaa_eryka: Fellow Ghanaians, Please and please again, we need every eligible voter out there every vote is very important. Your vote…",https://twitter.com/twitter/statuses/[1335691290126725121]
'The Washington Post',2020-11-04,559,['[]'],Texas votes,78,"Donald Trump is projected to win Texas and its 38 electoral votes, according to Edison Research https://t.co/226WWfo9f5 https://t.co/dZK954WH4r",https://twitter.com/twitter/statuses/[1323884761027383299]
'HuffPost Politics',2020-11-01,56,['[]'],Texas votes,22,"""I regret livin\ in Texas"" is the punchline. https://t.co/TsO0dKV6GJ",https://twitter.com/twitter/statuses/[1322844270324256768]
'The Washington Post',2020-11-04,524,['[]'],Texas votes,128,"""Heres the breakdown in Texas, where an estimated 76 percent of votes have been counted. https://t.co/pRIKdIc8TZ https://t.co/9NM2uiJ3PD""",https://twitter.com/twitter/statuses/[1323823834844303363]
'CNN Politics',2020-11-04,196,"[""[{'text': 'CNNElection', 'indices': [64, 76]}]""]",Texas votes,32,CNN PROJECTION: Donald Trump wins Texas https://t.co/8n221PBMEO #CNNElection https://t.co/JOLam0fhHB,https://twitter.com/twitter/statuses/[1323872595880628224]
'CNN Politics',2020-10-29,608,['[]'],Texas votes,92,Texas casts more than 8.4 million votes — 94% of total 2016 vote https://t.co/1GxJtdFY8g https://t.co/1zJP2NQbU0,https://twitter.com/twitter/statuses/[1321828901061087232]
'CNN Politics',2020-11-04,212,"[""[{'text': 'CNNElection', 'indices': [64, 76]}]""]",Texas votes,39,CNN PROJECTION: Donald Trump wins Texas https://t.co/8n221PBMEO #CNNElection https://t.co/v1OkjT9sGO,https://twitter.com/twitter/statuses/[1323874579543171072]
'The Washington Post',2020-11-04,197,['[]'],Texas votes,43,"Here is a look at Texas, where an estimated 44 percent of votes have been counted https://t.co/qBB8WMytII",https://twitter.com/twitter/statuses/[1323800721481977857]
'Guardian US',2020-11-03,20,['[]'],Texas votes,6,Judge dismisses Republican effort to invalidate Texas drive-through ballots https://t.co/RLvcZRyxFF,https://twitter.com/twitter/statuses/[1323707461136752641]
'Bloomberg Politics',2020-11-04,0,"[""[{'text': 'Election2020', 'indices': [99, 112]}]""]",Texas votes,195,"RT @business: BREAKING: Donald Trump is projected to win Texas, AP reports https://t.co/RJLRgBA1b2 #Election2020 https://t.co/1z3WMbcQdl",https://twitter.com/twitter/statuses/[1323869786175086592]
'Kamala Harris',2020-11-01,71455,['[]'],Texas votes,9793,Something big is happening in Texas. https://t.co/fNXqlVthok,https://twitter.com/twitter/statuses/[1322735427594395648]
